="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="(0.15)",="(0.25)",="(0.01)",="(10211.31)",="(1.39)",="(0.00)",="(7.49)"
="year=2013 # icanadolu",="-0.113",="-0.054",="0.001",="-7062.518",="0.854",="-0.000",="-2.548"
="",="(0.13)",="(0.22)",="(0.01)",="(9046.62)",="(1.23)",="(0.00)",="(6.63)"
="year=2013 # karadeniz",="-0.004",="-0.029",="-0.008",="-14382.201",="0.094",="-0.000",="-8.432"
="",="(0.12)",="(0.21)",="(0.01)",="(8562.35)",="(1.16)",="(0.00)",="(6.27)"
="year=2013 # marmara",="-0.066",="0.397",="-0.000",="-2664.282",="1.272",="-0.000",="5.470"
="",="(0.13)",="(0.23)",="(0.01)",="(9374.85)",="(1.27)",="(0.00)",="(6.87)"
="year=2014 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2014 # dogu",="0.026",="0.142",="-0.008",="-16842.707",="1.934",="0.000",="-10.560"
="",="(0.13)",="(0.22)",="(0.01)",="(8851.13)",="(1.20)",="(0.00)",="(6.49)"
="year=2014 # ege",="0.014",="-0.115",="-0.006",="-8368.541",="0.543",="-0.001",="-7.501"
="",="(0.14)",="(0.25)",="(0.01)",="(10047.60)",="(1.37)",="(0.00)",="(7.36)"
="year=2014 # guneydogu",="-0.035",="0.271",="0.003",="-11127.047",="1.680",="0.001",="4.113"
="",="(0.15)",="(0.25)",="(0.01)",="(10239.87)",="(1.39)",="(0.00)",="(7.51)"
="year=2014 # icanadolu",="-0.102",="-0.141",="-0.004",="-10858.369",="1.892",="0.000",="-3.385"
="",="(0.13)",="(0.22)",="(0.01)",="(9043.86)",="(1.23)",="(0.00)",="(6.62)"
="year=2014 # karadeniz",="0.033",="0.086",="-0.006",="-17137.102*",="0.367",="-0.001",="-9.429"
="",="(0.12)",="(0.21)",="(0.01)",="(8580.52)",="(1.17)",="(0.00)",="(6.34)"
