="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="(0.12)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2015 # marmara",="-0.091",="-0.093",="-0.001",="-0.001",="-0.003",="-0.004"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2016 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2016 # dogu",="-0.014",="-0.037",="0.002",="0.001",="-0.020*",="-0.019"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2016 # ege",="-0.023",="-0.034",="-0.000",="-0.000",="-0.011",="-0.011"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2016 # guneydogu",="-0.067",="-0.116",="0.002",="0.001",="-0.009",="-0.009"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2016 # icanadolu",="-0.142",="-0.174",="0.000",="-0.000",="-0.006",="-0.005"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2016 # karadeniz",="0.004",="-0.017",="0.000",="-0.000",="-0.010",="-0.009"
="",="(0.12)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2016 # marmara",="-0.159",="-0.231",="-0.000",="-0.000",="-0.005",="-0.005"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2017 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2017 # dogu",="0.022",="-0.001",="-0.000",="-0.001",="-0.008",="-0.006"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2017 # ege",="-0.013",="-0.024",="-0.001",="-0.001",="-0.007",="-0.006"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2017 # guneydogu",="-0.049",="-0.100",="0.001",="0.000",="-0.010",="-0.010"
="",="(0.15)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2017 # icanadolu",="-0.117",="-0.150",="-0.001",="-0.001",="-0.004",="-0.003"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2017 # karadeniz",="-0.012",="-0.031",="-0.001",="-0.001",="-0.005",="-0.004"
="",="(0.12)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2017 # marmara",="-0.149",="-0.222",="-0.001",="-0.001",="0.000",="0.001"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2018 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2018 # dogu",="0.128",="0.102",="-0.000",="-0.000",="-0.004",="-0.004"
