="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="(0.14)",="(0.23)",="(0.01)",="(9485.22)",="(6.87)",="(0.00)"
="year=2015 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2015 # dogu",="-0.025",="0.161",="-0.008",="-17842.860*",="-15.734*",="0.000"
="",="(0.13)",="(0.22)",="(0.01)",="(9040.69)",="(6.56)",="(0.00)"
="year=2015 # ege",="0.053",="-0.134",="-0.010",="-10818.618",="-12.791",="-0.000"
="",="(0.15)",="(0.25)",="(0.01)",="(10204.79)",="(7.39)",="(0.00)"
="year=2015 # guneydogu",="-0.178",="0.207",="-0.000",="-11588.467",="-4.305",="0.001"
="",="(0.15)",="(0.25)",="(0.01)",="(10329.08)",="(7.49)",="(0.00)"
="year=2015 # icanadolu",="-0.094",="-0.037",="0.003",="-8968.571",="-7.691",="-0.000"
="",="(0.13)",="(0.22)",="(0.01)",="(9184.73)",="(6.65)",="(0.00)"
="year=2015 # karadeniz",="0.040",="0.197",="-0.002",="-18479.662*",="-12.081",="-0.000"
="",="(0.13)",="(0.21)",="(0.01)",="(8746.68)",="(6.34)",="(0.00)"
="year=2015 # marmara",="-0.116",="0.379",="-0.003",="-3606.861",="-7.714",="-0.001"
="",="(0.14)",="(0.23)",="(0.01)",="(9485.60)",="(6.87)",="(0.00)"
="year=2016 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2016 # dogu",="-0.038",="-0.039",="-0.017",="-19485.950*",="-6.983",="0.001"
="",="(0.13)",="(0.22)",="(0.01)",="(8986.87)",="(6.52)",="(0.00)"
="year=2016 # ege",="0.046",="-0.100",="-0.012",="-12046.065",="-5.255",="0.000"
="",="(0.15)",="(0.25)",="(0.01)",="(10206.94)",="(7.39)",="(0.00)"
="year=2016 # guneydogu",="-0.205",="0.016",="-0.007",="-14419.395",="5.814",="0.002"
="",="(0.15)",="(0.25)",="(0.01)",="(10268.32)",="(7.45)",="(0.00)"
="year=2016 # icanadolu",="-0.094",="-0.142",="-0.004",="-14501.458",="-0.887",="0.000"
="",="(0.13)",="(0.22)",="(0.01)",="(9171.28)",="(6.64)",="(0.00)"
="year=2016 # karadeniz",="0.042",="0.068",="-0.008",="-19290.577*",="-5.678",="0.000"
="",="(0.13)",="(0.21)",="(0.01)",="(8715.54)",="(6.31)",="(0.00)"
="year=2016 # marmara",="-0.136",="0.314",="-0.005",="-8601.111",="-1.068",="-0.000"
="",="(0.14)",="(0.23)",="(0.01)",="(9477.90)",="(6.86)",="(0.00)"
="year=2017 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2017 # dogu",="0.000",="0.196",="-0.004",="-10137.726",="-12.972*",="-0.000"
="",="(0.13)",="(0.22)",="(0.01)",="(9036.77)",="(6.55)",="(0.00)"
="year=2017 # ege",="0.054",="-0.091",="-0.008",="-10259.503",="-9.377",="-0.001"
="",="(0.15)",="(0.25)",="(0.01)",="(10203.37)",="(7.39)",="(0.00)"
="year=2017 # guneydogu",="-0.216",="0.035",="-0.007",="-12270.008",="-4.035",="0.001"
="",="(0.15)",="(0.25)",="(0.01)",="(10266.06)",="(7.44)",="(0.00)"
="year=2017 # icanadolu",="-0.089",="-0.090",="-0.002",="-9526.717",="-6.797",="-0.001"
="",="(0.13)",="(0.22)",="(0.01)",="(9190.59)",="(6.65)",="(0.00)"
="year=2017 # karadeniz",="0.033",="0.110",="-0.003",="-11243.615",="-9.798",="-0.001"
="",="(0.13)",="(0.21)",="(0.01)",="(8756.43)",="(6.34)",="(0.00)"
="year=2017 # marmara",="-0.138",="0.374",="0.000",="-7237.039",="-0.809",="-0.001"
="",="(0.14)",="(0.23)",="(0.01)",="(9486.68)",="(6.87)",="(0.00)"
="year=2018 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2018 # dogu",="0.037",="0.268",="-0.001",="-6759.761",="-10.384",="-0.000"
="",="(0.13)",="(0.22)",="(0.01)",="(9086.56)",="(6.59)",="(0.00)"
="year=2018 # ege",="0.068",="-0.040",="-0.007",="-13121.148",="-10.812",="-0.001"
="",="(0.15)",="(0.25)",="(0.01)",="(10203.40)",="(7.39)",="(0.00)"
