province,district,2000,2001,2002,2003,2004,2005,2006,2007
tekirdag,hayrabolu,40130,39732,39333,38935,38337,37739,37341,36942
tekirdag,malkara,59125,58795,58465,58135,57640,57144,56814,56484
tekirdag,marmaraereglisi,19955,19582,19209,18836,18276,17716,17343,16970
tekirdag,merkez,142105,144484,146863,149242,152810,156378,158757,161136
tekirdag,muratli,26681,26591,26501,26411,26277,26142,26052,25962
tekirdag,saray,41217,41632,42048,42463,43087,43709,44125,44540
tekirdag,sarkoy,32660,32252,31844,31436,30824,30211,29803,29395
tokat,almus,43470,41662,39855,38047,35336,32624,30817,29009
tokat,artova,16246,15599,14953,14306,13337,12366,11720,11073
tokat,basciftlik,13321,12293,11264,10236,8693,7150,6122,5093
tokat,erbaa,100586,99970,99354,98738,97814,96890,96274,95658
tokat,merkez,174700,175520,176341,177161,178391,179622,180442,181262
tokat,niksar,90672,87456,84239,81023,76199,71374,68157,64941
tokat,pazar,20295,19678,19062,18445,17520,16595,15978,15361
tokat,resadiye,101900,94202,86505,78807,67261,55714,48017,40319
tokat,sulusaray,11202,11001,10800,10599,10299,9997,9796,9595
tokat,turhal,130985,125556,120127,114698,106555,98411,92982,87553
tokat,yesilyurt,14511,14187,13864,13540,13054,12569,12245,11921
tokat,zile,110139,104989,99839,94688,86963,79238,74087,68937
trabzon,akcaabat,120693,118916,117139,115361,112696,110030,108252,106475
trabzon,arakli,62139,60657,59176,57694,55471,53249,51767,50285
trabzon,arsin,35863,34475,33087,31699,29617,27534,26146,24758
trabzon,besikduzu,47331,44058,40786,37513,32604,27695,24422,21149
trabzon,carsibasi,17456,17301,17146,16991,16759,16526,16371,16216
trabzon,caykara,35435,32758,30081,27404,23388,19372,16695,14018
trabzon,dernekpazari,8127,7559,6991,6422,5570,4718,4149,3581
trabzon,duzkoy,24892,23799,22707,21614,19975,18336,17243,16150
trabzon,hayrat,21308,19662,18017,16371,13902,11434,9788,8142
trabzon,koprubasi,10827,10207,9587,8967,8037,7106,6486,5866
trabzon,macka,42557,40341,38126,35910,32587,29263,27048,24832
trabzon,merkez,283233,284393,285553,286713,288453,290193,291353,292513
trabzon,of,78560,74152,69743,65335,58723,52110,47701,43293
trabzon,salpazari,23390,22028,20665,19303,17259,15215,13853,12490
trabzon,surmene,42256,40488,38721,36953,34302,31650,29883,28115
trabzon,tonya,28107,26725,25343,23961,21889,19816,18434,17052
trabzon,vakfikebir,53227,49893,46558,43224,38222,33220,29886,26551
trabzon,yomra,39736,38404,37073,35741,33744,31746,30415,29083
tunceli,cemisgezek,9773,9578,9382,9187,8894,8601,8405,8210
tunceli,hozat,9143,8978,8813,8648,8401,8153,7988,7823
tunceli,mazgirt,12957,12595,12233,11870,11327,10784,10421,10059
tunceli,merkez,30323,30426,30529,30632,30787,30941,31044,31147
tunceli,nazimiye,5604,5450,5297,5143,4912,4682,4528,4374
tunceli,ovacik,8522,8357,8192,8026,7779,7531,7365,7200
tunceli,pertek,13199,13033,12867,12700,12451,12202,12035,11869
tunceli,pulumur,4063,3973,3882,3792,3657,3521,3430,3340
usak,banaz,43350,42756,42161,41567,40675,39783,39189,38594
usak,esme,38869,38602,38335,38068,37667,37266,36999,36732
usak,karahalli,14423,14197,13971,13745,13406,13066,12840,12614
usak,merkez,179458,183155,186852,190549,196094,201639,205336,209033
usak,sivasli,26196,25650,25104,24558,23739,22919,22373,21827
usak,ulubey,20017,19429,18842,18254,17372,16491,15903,15315
van,bahcesaray,16795,16950,17105,17259,17492,17724,17878,18033
van,baskale,55563,56508,57453,58398,59816,61233,62178,63123
van,caldiran,56485,57407,58330,59252,60636,62019,62942,63864
van,catak,23816,23858,23900,23942,24005,24068,24110,24152
van,edremit,18005,18783,19561,20339,21506,22672,23450,24228
van,ercis,147421,148019,148616,149214,150110,151006,151604,152201
van,gevas,29557,29585,29614,29642,29684,29727,29755,29783
van,gurpinar,37226,37901,38577,39252,40266,41278,41954,42629
van,merkez,356494,363671,370847,378024,388789,399554,406730,413907
van,muradiye,54692,54273,53853,53434,52805,52175,51756,51336
van,ozalp,59892,61448,63005,64561,66896,69230,70787,72343
van,saray,21578,21890,22202,22513,22981,23449,23760,24072
yalova,altinova,22801,22565,22330,22094,21741,21387,21152,20916
yalova,armutlu,7858,7777,7696,7615,7494,7372,7291,7210
yalova,ciftlikkoy,24789,24696,24603,24510,24372,24232,24139,24046
yalova,cinarcik,21650,21704,21759,21813,21895,21976,22031,22085
yalova,merkez,86091,88189,90286,92384,95530,98676,100774,102871
yalova,termal,5404,5307,5211,5114,4969,4824,4727,4630
yozgat,akdagmadeni,61373,60518,59662,58807,57524,56241,55385,54530
yozgat,aydincik,25955,24288,22621,20954,18453,15952,14285,12618
yozgat,bogazliyan,67184,63182,59181,55179,49176,43174,39172,35170
yozgat,candir,19037,17318,15599,13880,11301,8722,7003,5284
yozgat,cayiralan,32880,31527,30173,28820,26790,24760,23406,22053
yozgat,cekerek,40689,39411,38133,36854,34937,33020,31741,30463
yozgat,kadisehri,23317,22649,21982,21314,20313,19311,18644,17976
yozgat,merkez,113614,111322,109029,106737,103299,99860,97567,95275
yozgat,saraykent,26077,25268,24460,23651,22438,21225,20416,19607
yozgat,sarikaya,58026,56539,55052,53565,51336,49105,47618,46131
yozgat,sefaatli,30013,28751,27489,26226,24333,22440,21177,19915
yozgat,sorgun,120262,115721,111179,106638,99826,93014,88472,83931
yozgat,yenifakili,15603,14522,13441,12360,10739,9117,8036,6955
yozgat,yerkoy,48889,48055,47222,46388,45137,43887,43053,42219
zonguldak,alapli,44578,44802,45027,45251,45587,45924,46148,46372
zonguldak,caycuma,100685,100206,99726,99247,98528,97809,97329,96850
zonguldak,devrek,66518,66052,65586,65120,64421,63722,63256,62790
zonguldak,eregli,159808,161128,162449,163769,165750,167730,169051,170371
zonguldak,gokcebey,25588,25338,25087,24837,24462,24086,23835,23585
zonguldak,merkez,218422,218110,217797,217485,217016,216547,216235,215922
