year,region_code,province,registered_voters_loc,registered_voters_gen,registered_voters_ref,participation_rate,participation_rate15,participation_rate_loc,participation_ref,akp_gen,akp_15,chp_gen,chp_15,mhp_gen,mhp_15,hdp_gen,hdp_15,loc_mayors,mhp_loc,akp_loc,chp_loc,ref_yes,ref_no,crude_divorce_rate100,divorce_byd_1_10,divorce_byd_11_15,divorce_byd_16,divorce_byd_below1,divorce_byd_1,divorce_byd_2,crude_suicide_rate1000,suicides_male_total,suicides_female_total,suicides_male_below15,suicides_male_15,suicides_male_25,suicides_male_35,suicides_male_45,suicides_male_55,suicides_male_65,suicides_male_75,suicides_female_below15,suicides_female_15,suicides_female_25,suicides_female_35,suicides_female_45,suicides_female_55,suicides_female_65,suicides_female_75
2013,TR321,Aydýn,,,,,,,,,,,,,,,,,,,,,,2.1,441,292,536,54,237,177,6.12,44,18,2,3,5,6,11,7,4,6,0,6,5,1,3,0,1,2
2014,TR321,Aydin,753064,,,,,90.7,,,,,,,,,,17,4,4,9,,,2.08,453,298,557,58,223,174,6.59,56,12,0,7,12,9,15,5,6,2,0,3,1,4,2,1,1,0
2015,TR321,Aydin,,772649,,87.1,87.4,,,2,3,4,3,1,1,0,0,,,,,,,2.37,488,333,673,99,270,182,6.3,48,18,0,7,6,13,5,11,1,5,2,1,3,4,1,1,3,3
2016,TR321,Aydin,,,,,,,,,,,,,,,,,,,,,,2.1,498,311,591,58,203,167,7.54,65,15,0,12,12,12,7,11,5,6,1,2,4,3,1,2,1,1
2017,TR321,Aydin,,,794509,,,,88.1,,,,,,,,,,,,,35.7,64.3,2.3,521,325,725,73,245,164,5.58,46,14,0,6,5,13,9,8,3,2,0,6,1,2,2,3,0,0
2018,TR321,Aydin,,815974,,89,,,,4,,3,,0,,0,,,,,,,,2.33,511,355,727,71,256,186,6.7,60,13,1,9,3,11,18,11,5,2,0,3,3,1,3,0,3,0
2019,TR321,Aydin,820708,,,,,86.3,,,,,,,,,,17,2,5,8,,,2.53,600,424,762,88,254,181,9.24,81,21,1,10,14,19,13,8,8,8,0,4,4,2,4,1,2,4
2000,TR322,Denizli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,0,2,0,5,1,0,0,0,0,2,1,0,0,1,0,0
2001,TR322,Denizli,,,,,,,,,,,,,,,,,,,,,,1.99,396,240,313,60,156,162,3.53,26,4,1,4,10,3,4,1,2,1,0,1,2,1,0,0,0,0
2002,TR322,Denizli,,547223,,85.9,,,,4,,3,,,,,,,,,,,,2.1,371,269,380,79,185,152,3.61,23,8,0,6,3,3,8,3,0,0,0,4,0,0,2,0,2,0
2003,TR322,Denizli,,,,,,,,,,,,,,,,,,,,,,2.08,411,212,345,77,173,169,7.49,25,40,0,10,6,5,2,0,1,1,0,23,11,3,1,2,0,0
2004,TR322,Denizli,446844,,,,,82.6,,,,,,,,,,100,7,49,23,,,2.03,412,176,358,103,201,149,3.08,17,10,0,4,3,5,0,0,1,2,1,4,3,0,2,0,0,0
2005,TR322,Denizli,,,,,,,,,,,,,,,,,,,,,,2.22,474,248,403,82,198,167,3.5,22,9,0,2,4,4,6,3,0,2,0,4,0,3,0,2,0,0
2006,TR322,Denizli,,,,,,,,,,,,,,,,,,,,,,2.01,402,189,379,94,214,156,4.92,33,11,0,9,10,1,5,1,3,3,1,3,2,1,0,2,1,0
2007,TR322,Denizli,,576177,577310,90.5,,,77.8,4,,2,,1,,,,,,,,58.9,41.1,1.94,369,220,369,86,197,170,4.76,32,11,0,1,6,9,4,3,3,4,0,2,1,5,0,1,1,1
2008,TR322,Denizli,,,,,,,,,,,,,,,,,,,,,,2.07,419,238,404,68,203,181,4.82,34,10,0,4,8,8,4,4,1,5,0,4,3,0,1,1,1,0
2009,TR322,Denizli,542007,,,,,88.5,,,,,,,,,,87,12,38,21,,,2.34,439,313,490,68,240,156,6.72,48,14,2,5,12,8,10,3,7,1,0,1,3,3,2,4,1,0
2010,TR322,Denizli,,,665282,,,,86.5,,,,,,,,,,,,,46.3,53.7,2.38,483,347,500,71,199,173,4.31,32,8,0,4,5,8,10,2,1,2,0,4,2,0,0,0,0,2
2011,TR322,Denizli,,672377,,91.1,,,,4,,2,,1,,,,,,,,,,2.24,451,335,440,70,200,146,6.08,45,12,1,5,14,7,6,6,3,3,1,3,2,2,1,2,0,1
2012,TR322,Denizli,,,,,,,,,,,,,,,,,,,,,,2.37,482,344,501,70,230,170,6.23,45,14,0,4,6,9,13,7,4,2,2,7,0,2,2,0,1,0
2013,TR322,Denizli,,,,,,,,,,,,,,,,,,,,,,2.35,531,328,534,100,207,155,6.27,43,17,0,4,14,7,5,6,5,2,0,4,2,0,4,2,3,2
2014,TR322,Denizli,698884,,,,,92.5,,,,,,,,,,19,1,15,3,,,2.3,483,296,520,107,232,194,6.8,48,18,1,5,10,9,8,12,3,0,1,9,2,4,2,0,0,0
2015,TR322,Denizli,,712973,,89.9,90.1,,,3,4,3,2,1,1,0,0,,,,,,,2.34,489,325,559,99,255,179,5.07,40,10,0,5,11,11,7,3,1,2,0,4,2,0,4,0,0,0
2016,TR322,Denizli,,,,,,,,,,,,,,,,,,,,,,2.25,449,318,542,108,235,185,6.3,51,12,3,9,13,7,6,8,2,3,0,1,2,5,2,0,0,2
2017,TR322,Denizli,,,734996,,,,90.4,,,,,,,,,,,,,44.5,55.5,2.17,451,343,568,83,213,156,4.84,41,8,0,6,8,6,9,5,4,3,0,1,3,0,3,0,1,0
2018,TR322,Denizli,,747897,,91.3,,,,4,,3,,0,,0,,,,,,,,2.21,416,363,622,72,228,169,5.47,48,8,0,11,7,9,7,9,1,4,0,1,2,0,2,1,2,0
2019,TR322,Denizli,754368,,,,,88.1,,,,,,,,,,19,2,12,5,,,2.53,500,442,725,62,256,173,8.14,67,17,0,10,11,15,8,16,5,2,0,3,5,0,6,1,0,2
2000,TR323,Muðla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,0,8,8,3,1,2,4,2,1,13,7,3,1,2,1,0
2001,TR323,Muðla,,,,,,,,,,,,,,,,,,,,,,1.63,224,161,240,50,115,94,13.56,43,48,0,13,11,12,1,3,2,1,1,27,10,5,2,2,1,0
2002,TR323,Muðla,,478342,,83.2,,,,2,,4,,,,,,,,,,,,1.85,256,155,265,76,149,127,25.69,69,107,0,21,11,20,7,5,3,2,2,56,25,16,4,1,3,0
2003,TR323,Muðla,,,,,,,,,,,,,,,,,,,,,,1.96,284,189,298,68,149,128,20.88,42,104,0,16,11,7,5,2,1,0,1,67,19,10,4,1,1,1
2004,TR323,Muðla,329602,,,,,77.5,,,,,,,,,,61,6,20,26,,,1.83,266,192,232,82,148,118,11.91,30,55,1,10,9,5,4,0,0,0,3,34,9,4,3,0,0,0
2005,TR323,Muðla,,,,,,,,,,,,,,,,,,,,,,2.06,357,189,277,73,174,122,13.05,64,31,1,13,13,10,8,7,9,2,3,10,8,3,2,2,1,0
2006,TR323,Muðla,,,,,,,,,,,,,,,,,,,,,,2.07,346,210,310,80,164,134,5.92,27,17,0,2,6,4,7,4,1,3,0,3,2,8,0,3,0,1
2007,TR323,Muðla,,521822,522755,86.9,,,69.2,2,,3,,1,,,,,,,,43.3,56.7,1.95,331,203,296,57,176,118,4.09,22,9,0,4,2,5,3,5,0,3,0,3,1,0,0,1,2,0
2008,TR323,Muðla,,,,,,,,,,,,,,,,,,,,,,2.07,340,228,362,68,172,130,4.88,28,10,0,5,6,5,4,5,1,2,1,2,3,2,0,1,1,0
2009,TR323,Muðla,385865,,,,,86.6,,,,,,,,,,61,15,8,29,,,2.35,411,295,382,77,196,147,6.27,36,14,0,7,8,5,9,1,3,3,0,5,3,3,0,2,0,1
2010,TR323,Muðla,,,593187,,,,83,,,,,,,,,,,,,31,69,2.51,457,310,427,73,193,171,6.17,36,14,0,6,7,7,7,5,2,1,0,2,2,5,0,1,1,1
2011,TR323,Muðla,,604443,,88.2,,,,2,,3,,1,,,,,,,,,,2.43,416,293,490,58,203,163,5.68,38,9,0,8,5,6,8,6,1,4,0,1,2,2,3,0,0,1
2012,TR323,Muðla,,,,,,,,,,,,,,,,,,,,,,2.56,451,315,521,77,211,146,6.16,41,11,0,7,6,7,10,7,0,3,0,4,1,2,2,1,0,1
2013,TR323,Muðla,,,,,,,,,,,,,,,,,,,,,,2.5,484,307,458,92,227,145,6.29,41,13,0,13,3,6,6,7,4,2,0,2,3,1,1,2,1,3
2014,TR323,Mugla,641464,,,,,90.6,,,,,,,,,,13,0,3,9,,,2.5,481,317,522,69,239,161,4.2,29,8,2,5,4,4,5,6,0,2,1,1,2,0,1,0,3,0
2015,TR323,Mugla,,665608,,86.1,86.9,,,2,2,3,3,1,1,0,0,,,,,,,2.55,475,318,575,75,234,192,5.88,46,7,0,6,10,9,9,6,3,3,0,2,0,1,2,0,1,1
2016,TR323,Mugla,,,,,,,,,,,,,,,,,,,,,,2.55,489,335,580,75,264,176,5.67,37,15,0,4,5,7,10,4,4,3,1,2,1,5,1,1,3,1
2017,TR323,Mugla,,,690291,,,,88.6,,,,,,,,,,,,,30.7,69.3,2.51,482,339,564,58,278,169,5.05,36,11,0,7,6,8,5,4,3,3,0,3,1,1,2,1,2,1
2018,TR323,Mugla,,724911,,88.7,,,,2,,4,,0,,0,,,,,,,,2.78,588,403,655,64,266,205,7.97,62,14,0,7,18,15,3,7,5,7,0,3,6,0,3,1,1,0
2019,TR323,Mugla,726123,,,,,86.3,,,,,,,,,,13,1,6,6,,,2.73,522,415,700,67,273,190,6.77,57,9,0,7,11,14,9,8,4,4,1,1,1,2,0,2,0,2
2000,TR331,Manisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,14,0,5,6,2,2,6,2,0,1,3,2,5,0,1,2,0
2001,TR331,Manisa,,,,,,,,,,,,,,,,,,,,,,1.42,356,302,414,84,189,129,2.89,25,12,0,5,3,3,3,6,1,4,0,4,2,1,2,2,1,0
2002,TR331,Manisa,,850783,,87.4,,,,6,,4,,,,,,,,,,,,1.29,324,245,414,57,171,143,2.64,23,11,0,2,6,5,7,2,0,1,0,1,5,1,3,0,1,0
2003,TR331,Manisa,,,,,,,,,,,,,,,,,,,,,,1.36,369,221,445,80,173,174,4.8,37,25,1,2,7,10,7,6,4,0,3,3,4,2,2,3,3,5
2004,TR331,Manisa,625610,,,,,84,,,,,,,,,,84,10,38,14,,,1.28,336,222,391,61,167,133,6.16,45,35,0,16,6,5,6,3,0,5,1,14,8,3,4,1,2,0
2005,TR331,Manisa,,,,,,,,,,,,,,,,,,,,,,1.3,355,223,418,78,162,121,6.21,49,32,2,7,14,6,4,3,3,4,1,10,9,5,3,2,0,1
2006,TR331,Manisa,,,,,,,,,,,,,,,,,,,,,,1.3,349,249,416,73,157,124,4.35,40,17,0,5,3,6,6,9,2,4,2,5,1,2,3,2,2,0
2007,TR331,Manisa,,859374,858773,90.9,,,80.1,5,,2,,3,,,,,,,,60,40,1.41,408,239,417,82,207,165,3.64,30,18,0,6,6,5,6,2,0,1,1,1,6,3,2,1,0,2
2008,TR331,Manisa,,,,,,,,,,,,,,,,,,,,,,1.42,411,259,438,86,179,159,4.63,46,15,1,8,9,6,6,4,3,4,0,4,3,4,1,0,1,2
2009,TR331,Manisa,727053,,,,,89,,,,,,,,,,84,15,37,16,,,1.69,435,323,565,94,207,177,4.23,44,12,1,8,11,6,8,6,0,4,1,1,3,1,1,1,1,3
2010,TR331,Manisa,,,960069,,,,86.4,,,,,,,,,,,,,49.7,50.3,1.65,447,330,559,85,202,163,3.98,32,22,1,5,6,9,4,2,3,2,1,5,4,5,2,3,2,0
2011,TR331,Manisa,,965902,,91.6,,,,5,,3,,2,,,,,,,,,,1.59,450,340,524,80,228,159,3.68,39,11,0,6,5,9,9,1,4,5,1,2,3,3,2,0,0,0
2012,TR331,Manisa,,,,,,,,,,,,,,,,,,,,,,1.76,513,361,566,83,225,154,3.57,38,10,0,8,6,10,3,1,6,4,0,1,4,1,1,1,2,0
2013,TR331,Manisa,,,,,,,,,,,,,,,,,,,,,,1.71,495,351,523,110,224,187,4.58,46,16,0,13,4,4,13,4,6,2,1,8,2,2,0,1,2,0
2014,TR331,Manisa,996258,,,,,93.1,,,,,,,,,,17,6,11,0,,,1.77,543,352,583,80,267,191,3.45,39,8,0,4,12,7,5,6,3,2,0,0,1,1,1,3,1,1
2015,TR331,Manisa,,1006697,,90.1,90.3,,,4,5,3,3,2,1,0,0,,,,,,,1.91,566,361,668,99,287,221,4.88,52,15,1,16,13,7,3,6,3,3,0,7,4,0,0,2,1,1
2016,TR331,Manisa,,,,,,,,,,,,,,,,,,,,,,1.69,487,349,613,76,239,168,3.82,36,17,0,6,6,2,12,6,2,2,2,2,2,4,2,3,1,1
2017,TR331,Manisa,,,1029622,,,,90.6,,,,,,,,,,,,,45.7,54.3,1.57,476,336,543,42,246,166,4.77,48,19,1,5,11,7,8,11,4,1,1,2,2,6,4,1,2,1
2018,TR331,Manisa,,1044628,,91.3,,,,5,,3,,1,,0,,,,,,,,1.9,566,414,750,61,282,199,5,62,9,1,7,8,9,12,10,8,7,0,3,2,1,0,1,0,2
2019,TR331,Manisa,1052970,,,,,88.6,,,,,,,,,,17,4,9,4,,,2.04,577,456,811,60,292,214,5.64,63,18,0,11,11,13,9,10,3,6,0,8,0,0,5,2,1,2
2000,TR332,Afyonkarahisar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,9,1,3,1,3,1,1,1,0,0,5,1,0,1,1,0,1
2001,TR332,Afyonkarahisar,,,,,,,,,,,,,,,,,,,,,,1.94,334,180,224,80,118,122,2.73,12,7,1,1,3,3,1,2,1,0,0,5,0,0,1,1,0,0
2002,TR332,Afyonkarahisar,,423350,,86.3,,,,6,,1,,,,,,,,,,,,1.97,330,186,214,66,140,134,2.86,12,8,0,2,6,2,0,0,1,1,1,2,4,1,0,0,0,0
2003,TR332,Afyonkarahisar,,,,,,,,,,,,,,,,,,,,,,1.96,320,152,223,56,142,145,5.58,21,18,0,7,6,1,3,2,2,0,1,6,6,1,2,1,0,1
2004,TR332,Afyonkarahisar,342156,,,,,86.7,,,,,,,,,,108,9,64,15,,,1.74,223,126,184,66,146,153,3.57,14,11,0,2,2,3,3,1,0,2,1,4,2,2,1,0,0,1
2005,TR332,Afyonkarahisar,,,,,,,,,,,,,,,,,,,,,,1.54,208,112,179,55,127,119,4,17,11,0,4,1,0,7,3,0,1,1,3,3,0,3,1,0,0
2006,TR332,Afyonkarahisar,,,,,,,,,,,,,,,,,,,,,,1.35,194,81,156,54,119,106,4.85,27,7,0,6,5,6,3,3,3,1,1,3,0,1,0,1,0,1
2007,TR332,Afyonkarahisar,,435885,436336,90.1,,,80.2,5,,1,,1,,,,,,,,73.5,26.5,1.3,213,96,161,49,100,85,2.42,14,3,0,2,3,1,3,1,1,2,0,0,2,0,1,0,0,0
2008,TR332,Afyonkarahisar,,,,,,,,,,,,,,,,,,,,,,1.33,200,101,152,39,101,93,5.43,29,9,0,4,5,4,3,3,1,1,0,4,2,1,1,0,0,0
2009,TR332,Afyonkarahisar,377641,,,,,88.6,,,,,,,,,,107,30,55,15,,,1.37,229,121,167,31,112,75,3.86,22,5,0,6,2,2,5,2,2,3,1,3,0,1,0,0,0,0
2010,TR332,Afyonkarahisar,,,483583,,,,87.2,,,,,,,,,,,,,65.7,34.3,1.62,261,146,200,53,123,85,4.29,17,13,0,3,7,2,3,0,1,1,3,5,1,1,1,2,0,0
2011,TR332,Afyonkarahisar,,485000,,90,,,,3,,1,,1,,,,,,,,,,1.45,207,135,201,48,111,77,4.58,21,11,1,4,1,5,4,2,1,3,1,3,1,1,1,3,0,0
2012,TR332,Afyonkarahisar,,,,,,,,,,,,,,,,,,,,,,1.32,217,132,178,29,83,86,3.99,21,7,0,4,2,5,5,3,0,1,0,1,1,3,1,1,0,0
2013,TR332,Afyonkarahisar,,,,,,,,,,,,,,,,,,,,,,1.29,223,106,170,33,83,87,5.67,29,11,1,6,5,9,4,0,2,2,1,2,4,1,1,1,0,1
2014,TR332,Afyonkarahisar,353839,,,,,92,,,,,,,,,,58,14,37,4,,,1.37,205,127,197,40,113,76,4.24,20,10,0,8,6,1,4,1,0,0,0,4,1,0,2,2,1,0
2015,TR332,Afyonkarahisar,,493765,,88.7,89,,,3,3,1,1,1,1,0,0,,,,,,,1.39,212,136,224,41,96,75,5.37,25,13,0,4,5,6,2,5,1,2,2,5,0,0,1,1,2,2
2016,TR332,Afyonkarahisar,,,,,,,,,,,,,,,,,,,,,,1.37,204,149,210,37,111,79,6.18,33,11,0,5,4,5,11,4,1,3,0,4,3,0,2,0,1,1
2017,TR332,Afyonkarahisar,,,500722,,,,89.1,,,,,,,,,,,,,64.6,35.4,1.33,200,152,215,40,106,75,5.59,33,7,1,10,7,5,0,3,4,3,0,2,1,3,0,0,1,0
2018,TR332,Afyonkarahisar,,506851,,90.6,,,,3,,1,,1,,0,,,,,,,,1.51,224,160,262,54,122,86,4.02,23,6,1,7,3,5,3,2,0,2,0,2,1,2,0,1,0,0
2019,TR332,Afyonkarahisar,380686,,,,,89.4,,,,,,,,,,59,17,34,4,,,1.66,264,192,276,42,115,92,5.36,25,14,3,5,3,5,3,5,1,0,0,4,3,2,1,1,1,2
2000,TR333,Kütahya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,3,0,1,0,0,0,0,0,4,1,0,0,1,0,0
2001,TR333,Kütahya,,,,,,,,,,,,,,,,,,,,,,1.3,141,118,131,51,81,77,1.86,6,5,0,3,1,0,1,0,1,0,0,1,1,0,1,0,1,1
2002,TR333,Kütahya,,398308,,89,,,,6,,0,,,,,,,,,,,,1.24,146,93,123,52,85,75,1.52,3,6,0,0,1,2,0,0,0,0,0,2,1,0,1,1,1,0
2003,TR333,Kütahya,,,,,,,,,,,,,,,,,,,,,,1.36,155,117,151,53,94,71,2.71,12,4,0,2,3,2,1,3,0,1,0,2,1,1,0,0,0,0
2004,TR333,Kütahya,277707,,,,,85.6,,,,,,,,,,75,6,52,2,,,1.16,136,96,118,41,69,58,4.92,21,8,0,6,7,3,2,3,0,0,0,2,1,1,1,2,1,0
2005,TR333,Kütahya,,,,,,,,,,,,,,,,,,,,,,1.18,157,84,125,42,95,65,4.25,18,7,0,3,2,3,4,1,2,0,0,1,1,2,0,2,0,1
2006,TR333,Kütahya,,,,,,,,,,,,,,,,,,,,,,1.04,150,68,105,40,66,58,3.92,16,7,0,2,2,2,0,3,3,1,1,3,2,0,0,1,0,0
2007,TR333,Kütahya,,398263,399322,92.1,,,82.8,5,,0,,1,,,,,,,,81.4,18.6,1.07,153,65,143,27,61,48,5.81,23,11,0,4,4,6,6,1,2,0,0,4,2,0,1,2,0,0
2008,TR333,Kütahya,,,,,,,,,,,,,,,,,,,,,,1.28,140,86,181,48,77,54,5.22,24,6,0,1,4,5,5,2,3,2,0,1,1,0,0,4,0,0
2009,TR333,Kütahya,317610,,,,,88.4,,,,,,,,,,72,18,38,5,,,1.43,165,123,165,41,79,70,4.75,22,5,1,5,2,3,0,2,1,8,0,2,2,0,0,0,0,1
2010,TR333,Kütahya,,,418071,,,,89.1,,,,,,,,,,,,,74.7,25.3,1.51,177,122,208,45,80,70,3.79,14,8,0,2,1,3,0,3,0,5,0,1,1,0,1,2,0,3
2011,TR333,Kütahya,,418678,,91.2,,,,4,,0,,1,,,,,,,,,,1.57,177,133,208,40,85,71,4.16,15,9,0,2,2,2,4,3,1,1,0,2,2,0,0,3,0,2
2012,TR333,Kütahya,,,,,,,,,,,,,,,,,,,,,,1.64,188,153,202,37,89,83,4.39,14,11,0,1,6,2,3,1,1,0,0,1,2,1,1,4,1,1
2013,TR333,Kütahya,,,,,,,,,,,,,,,,,,,,,,1.49,182,110,234,44,80,56,5.59,25,7,1,3,4,5,3,3,1,4,0,0,0,0,3,4,0,0
2014,TR333,Kütahya,297780,,,,,91.6,,,,,,,,,,27,7,16,2,,,1.46,192,111,205,38,75,75,3.67,17,4,0,2,2,5,3,1,3,0,0,1,0,1,0,1,1,0
2015,TR333,Kütahya,,420348,,89.4,90.1,,,3,4,0,0,1,0,0,0,,,,,,,1.5,165,123,248,33,74,59,3.5,18,2,0,3,2,2,5,3,2,1,0,2,0,0,0,0,0,0
2016,TR333,Kütahya,,,,,,,,,,,,,,,,,,,,,,1.37,164,115,194,33,95,48,3.84,18,4,0,0,2,3,2,5,2,4,0,0,2,1,1,0,0,0
2017,TR333,Kütahya,,,420473,,,,90.3,,,,,,,,,,,,,70.3,29.7,1.47,146,112,246,49,84,76,4.19,18,6,0,4,3,4,2,2,0,3,0,2,0,1,1,0,1,1
2018,TR333,Kütahya,,422116,,91.4,,,,3,,1,,1,,0,,,,,,,,1.74,189,142,305,32,95,77,3.83,17,5,0,4,1,2,3,4,0,3,1,0,2,0,0,0,0,2
2019,TR333,Kütahya,311743,,,,,87.7,,,,,,,,,,28,10,17,0,,,1.63,177,152,250,44,96,68,4.84,21,7,0,3,5,4,3,3,1,2,0,2,0,1,2,1,1,0
2000,TR334,Uþak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,1,1,1,0,1,1,0,1,0,1,1,1,0,2,0,0
2001,TR334,Uþak,,,,,,,,,,,,,,,,,,,,,,3.18,226,189,217,52,69,85,1.55,4,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
2002,TR334,Uþak,,211189,,88.5,,,,2,,1,,,,,,,,,,,,2.89,221,123,203,65,78,69,0.62,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2003,TR334,Uþak,,,,,,,,,,,,,,,,,,,,,,2.45,172,105,164,51,71,80,7.37,18,6,0,1,3,5,5,1,3,0,0,2,1,2,0,1,0,0
2004,TR334,Uþak,146100,,,,,84.6,,,,,,,,,,24,1,15,6,,,2.25,149,87,181,41,74,64,4.89,9,7,0,1,3,1,0,2,0,2,0,2,3,2,0,0,0,0
2005,TR334,Uþak,,,,,,,,,,,,,,,,,,,,,,2.27,147,82,136,60,72,82,6.07,14,6,0,0,4,2,3,0,2,3,0,1,0,2,1,0,1,1
2006,TR334,Uþak,,,,,,,,,,,,,,,,,,,,,,2.04,121,79,156,45,67,60,2.72,7,2,0,3,1,1,0,2,0,0,0,0,1,0,0,0,1,0
2007,TR334,Uþak,,222376,222956,91.1,,,81,2,,1,,0,,,,,,,,59.9,40.1,2,125,81,155,41,54,62,5.1,7,10,0,1,0,3,0,1,0,2,0,1,2,1,0,4,0,1
2008,TR334,Uþak,,,,,,,,,,,,,,,,,,,,,,2.42,172,108,201,41,71,63,5.09,9,8,0,3,5,1,0,0,0,0,1,0,0,4,0,0,1,2
2009,TR334,Uþak,178297,,,,,88.2,,,,,,,,,,24,2,10,9,,,2.17,140,114,154,34,65,53,5.67,14,5,0,3,1,5,0,1,3,1,1,2,0,0,2,0,0,0
2010,TR334,Uþak,,,245586,,,,88.4,,,,,,,,,,,,,49.8,50.2,2.29,165,112,165,27,66,64,5.05,7,10,0,1,3,2,1,0,0,0,0,3,5,0,0,0,1,1
2011,TR334,Uþak,,248746,,91.5,,,,2,,1,,0,,,,,,,,,,2.17,141,112,188,31,73,51,6.2,16,5,0,1,3,6,3,0,1,2,0,2,0,1,1,1,0,0
2012,TR334,Uþak,,,,,,,,,,,,,,,,,,,,,,2.37,186,113,192,38,55,62,8.8,22,8,1,6,3,2,4,2,3,0,2,3,1,0,0,0,1,1
2013,TR334,Uþak,,,,,,,,,,,,,,,,,,,,,,2.16,185,98,148,41,70,51,3.19,8,3,0,3,0,0,3,1,0,1,0,0,2,0,1,0,0,0
2014,TR334,Usak,179668,,,,,91.4,,,,,,,,,,12,0,7,5,,,2.28,175,116,181,40,84,70,5.17,17,1,2,3,2,5,2,1,0,2,0,0,0,0,0,0,1,0
2015,TR334,Usak,,256900,,90.5,90.1,,,1,2,1,1,1,0,0,0,,,,,,,2.12,170,103,179,31,70,65,5.41,13,6,0,2,1,6,3,1,0,0,0,2,1,1,1,0,1,0
2016,TR334,Usak,,,,,,,,,,,,,,,,,,,,,,1.9,143,78,166,46,80,46,4.78,15,2,0,5,2,2,3,1,1,1,0,0,1,1,0,0,0,0
2017,TR334,Usak,,,262384,,,,90.4,,,,,,,,,,,,,47,53,2.06,138,106,168,29,93,61,3.32,6,6,0,1,2,0,0,1,1,1,0,3,2,0,0,0,1,0
2018,TR334,Usak,,266493,,91.1,,,,2,,1,,0,,0,,,,,,,,2.15,150,114,220,21,79,65,4.37,12,4,0,2,3,2,3,1,1,0,0,1,0,1,0,1,0,1
2019,TR334,Usak,202468,,,,,86.8,,,,,,,,,,11,0,10,1,,,2.36,159,148,244,21,77,59,2.44,7,2,0,1,2,3,0,0,0,1,0,1,0,0,0,1,0,0
2000,TR411,Bursa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,28,1,7,6,16,10,9,2,2,0,9,7,4,2,3,1,2
2001,TR411,Bursa,,,,,,,,,,,,,,,,,,,,,,1.27,602,384,579,134,285,227,4.74,78,25,1,17,14,13,17,9,6,1,1,8,7,1,2,1,4,1
2002,TR411,Bursa,,1487412,,79.8,,,,12,,4,,,,,,,,,,,,1.24,616,416,589,98,249,248,4.97,82,28,2,11,17,28,11,5,4,4,0,8,10,6,3,0,0,1
2003,TR411,Bursa,,,,,,,,,,,,,,,,,,,,,,1.28,647,404,653,120,273,254,2.58,43,15,0,6,12,7,10,5,2,1,1,4,1,5,1,0,2,1
2004,TR411,Bursa,1258625,,,,,74.8,,,,,,,,,,54,1,30,7,,,1.16,548,353,584,90,238,269,3.84,57,31,0,14,14,6,10,7,4,1,2,10,5,5,5,2,2,0
2005,TR411,Bursa,,,,,,,,,,,,,,,,,,,,,,1.31,674,431,679,112,275,258,4.2,60,38,1,6,14,16,10,7,6,0,0,15,4,11,2,2,2,2
2006,TR411,Bursa,,,,,,,,,,,,,,,,,,,,,,1.28,664,458,639,117,309,276,3.49,53,30,0,11,9,4,8,6,5,7,1,9,2,5,6,2,2,0
2007,TR411,Bursa,,1515111,1520561,88.8,,,73.5,10,,3,,3,,,,,,,,67.2,32.8,1.32,724,450,721,141,311,267,2.85,50,19,0,5,11,10,6,8,3,4,2,5,3,3,1,1,1,0
2008,TR411,Bursa,,,,,,,,,,,,,,,,,,,,,,1.33,697,473,774,115,286,283,2.75,52,16,0,6,10,9,9,7,8,2,0,5,3,2,3,2,0,1
2009,TR411,Bursa,1596977,,,,,84.9,,,,,,,,,,37,4,24,6,,,1.45,790,557,935,125,297,258,3.87,79,19,1,15,16,15,12,11,5,4,0,4,4,3,3,1,4,0
2010,TR411,Bursa,,,1843820,,,,82.3,,,,,,,,,,,,,56.4,43.6,1.64,836,655,1091,115,338,352,4.23,90,19,1,18,20,12,15,12,7,5,1,3,3,5,3,1,1,2
2011,TR411,Bursa,,1876748,,89.5,,,,11,,5,,2,,,,,,,,,,1.77,971,692,1197,166,355,339,3.23,69,16,2,5,16,13,16,7,4,6,1,3,4,4,1,2,1,0
2012,TR411,Bursa,,,,,,,,,,,,,,,,,,,,,,1.87,1031,770,1285,175,387,331,5.06,109,26,1,12,22,17,33,12,6,5,1,7,2,3,6,4,1,2
2013,TR411,Bursa,,,,,,,,,,,,,,,,,,,,,,1.78,1004,722,1296,175,446,334,4.05,88,22,0,14,15,17,15,12,10,5,1,7,2,3,4,2,3,0
2014,TR411,Bursa,1982873,,,,,90.6,,,,,,,,,,17,0,15,2,,,1.86,1131,756,1340,200,446,371,4.2,99,17,0,13,16,10,18,19,15,6,0,6,0,3,5,1,1,1
2015,TR411,Bursa,,2028417,,87.9,89.5,,,9,11,5,5,3,2,1,0,,,,,,,1.85,1091,780,1424,229,447,406,4.62,97,33,0,15,25,17,20,13,5,2,1,6,8,5,4,4,3,2
