year,province,region,popi,gdpk,educ_hsch,educ_coll,prisons_total,prisons_closed,prisons_open,prisons_semiopen,prisons_juvenile,cr_educ_total,cr_educ_illiterate,cr_educ_litnoschool,cr_educ_primaryfour,cr_educ_primaryeight,cr_educ_juniorhs,cr_educ_hs,cr_educ_uni,cr_educ_unknown,cd_type_total,cr_type_total,cd_type_homicide,cr_type_homicide,cd_type_assault,cr_type_assault,cd_type_sexual,cr_type_sexual,cd_type_kidnapping,cr_type_kidnapping,cd_type_defamation,cr_type_defamation,cd_type_theft,cr_type_theft,cd_type_robbery,cr_type_robbery,cd_type_swindling,cr_type_swindling,cd_type_drugspc,cr_type_drugspc,cd_type_drugsuse,cr_type_drugsuse,cd_type_forgery,cr_type_forgery,cd_type_badtreatment,cr_type_badtreatment,cd_type_embezzlement,cr_type_embezzlement,cd_type_bribery,cr_type_bribery,cd_type_smuggling,cr_type_smuggling,cd_type_traffic,cr_type_traffic,cd_type_forestry,cr_type_forestry,cd_type_arms,cr_type_arms,cd_type_bankruptcy,cr_type_bankruptcy,cd_type_military,cr_type_military,cd_type_cheque,cr_type_cheque,cd_type_threat,cr_type_threat,cd_type_propertydamage,cr_type_propertydamage,cd_type_performanceprevention,cr_type_performanceprevention,cd_type_familyprotection,cr_type_familyprotection,cd_type_other,cr_type_other,cd_type_unknown,cr_type_unknown,loc_mayors,crude_divorce_rate100,divorce_byd_1_10,divorce_byd_11_15,divorce_byd_16,divorce_byd_below1,divorce_byd_1,divorce_byd_2,crude_suicide_rate1000,suicides_male_total,suicides_female_total,suicides_male_below15,suicides_male_15,suicides_male_25,suicides_male_35,suicides_male_45,suicides_male_55,suicides_male_65,suicides_male_75,suicides_female_below15,suicides_female_15,suicides_female_25,suicides_female_35,suicides_female_45,suicides_female_55,suicides_female_65,suicides_female_75,vs_akp,vs_chp,vs_mhp,vs_hdp,ms_akp,ms_chp,ms_mhp
2005,tekirdag,marmara,609127.875,9824,121842.125,34077.75,10,10,0,0,0,631,14,16,453,1,67,72,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,227,139,217,50,123,81,4.31,22,7,0,4,4,4,3,2,1,4,0,0,0,0,4,3,0,0,39,22,7,11,.66666669,.30769232,0
2006,tekirdag,marmara,606235.25,10217,123594.75,35114.5,10,10,0,0,0,1229,28,30,759,22,146,210,34,0,1179,1229,13,23,80,74,14,16,3,4,6,11,76,64,12,12,75,71,3,7,1,0,13,12,8,10,2,1,0,1,6,1,13,14,4,3,27,30,457,483,303,322,0,0,0,0,0,0,0,0,0,0,63,70,0,0,,1.43,220,135,202,44,100,90,6.05,30,12,0,4,6,6,4,1,4,1,2,3,2,2,1,0,1,1,39,22,7,11,.66666669,.30769232,0
2007,tekirdag,marmara,603342.625,12489,125347.375,36151.25,11,10,1,0,0,1964,47,56,1012,283,189,304,73,0,1793,1964,19,30,96,102,13,7,2,8,16,29,50,55,5,10,67,60,12,20,0,3,4,13,22,16,1,2,1,1,4,10,53,51,12,10,30,36,862,913,424,476,0,0,0,0,0,0,0,0,0,0,100,112,0,0,,1.44,229,153,248,36,102,88,6.28,29,16,0,3,4,6,5,1,5,2,1,5,3,0,2,1,1,1,2,2,1,11,.66666669,.30769232,0
2008,tekirdag,marmara,600450,13823,127100,37188,10,9,1,0,0,925,28,28,487,154,74,128,26,0,950,925,22,17,94,103,10,9,3,7,23,20,56,72,9,9,87,80,6,15,13,0,9,6,8,4,0,1,0,0,3,1,21,23,6,3,32,22,240,226,247,241,0,0,0,0,0,0,0,0,0,0,61,66,0,0,,1.59,246,186,268,38,109,91,6,32,13,0,2,7,4,3,3,5,3,0,7,3,2,0,1,0,0,46,29,7,11,.66666669,.30769232,0
2009,tekirdag,marmara,611101,10978,134298,44711,9,9,0,0,0,1093,31,39,340,299,64,195,29,96,1031,1093,15,12,135,145,10,7,8,3,17,17,45,61,11,2,72,71,18,7,9,14,12,17,4,4,1,0,0,1,1,1,36,32,2,2,24,31,142,152,378,401,0,0,0,0,0,0,0,0,0,0,89,111,2,2,33,1.9,298,237,353,45,117,119,6.18,41,7,0,4,13,6,8,7,2,1,1,2,0,3,0,0,0,1,46,29,7,11,.42424244,.30303031,.060606062
2010,tekirdag,marmara,622291,13272,144129,48070,9,9,0,0,0,1265,9,79,303,387,100,253,38,96,1168,1265,27,38,93,122,14,25,3,5,23,22,66,63,20,17,85,93,13,14,11,8,12,15,2,0,2,2,0,0,5,5,17,14,1,2,21,29,355,358,313,322,0,0,0,0,0,0,0,0,0,0,85,109,0,2,,1.88,296,239,354,46,135,118,4.93,28,11,0,3,4,7,6,4,3,1,1,2,1,3,1,1,1,1,46,29,7,11,.64102566,.35897437,0
2011,tekirdag,marmara,649719,14420,155080,58553,9,9,0,0,0,1108,8,71,291,306,88,207,39,98,1031,1108,19,35,104,118,10,18,3,8,17,22,52,85,18,35,12,9,20,14,6,12,20,24,2,2,2,0,0,1,2,2,13,12,2,3,30,18,372,351,149,166,83,74,0,0,0,0,0,0,0,0,95,99,0,0,,1.87,331,229,356,42,148,110,3.69,25,5,0,2,1,8,6,1,5,1,0,2,0,2,1,0,0,0,2,3,1,11,.64102566,.35897437,0
2012,tekirdag,marmara,668180,14606,158543,63217,11,10,1,0,0,1546,12,94,406,473,122,278,56,105,1445,1546,63,74,196,239,37,30,7,12,23,22,136,154,48,36,15,14,26,26,10,6,35,24,4,4,2,3,4,3,2,3,24,24,0,0,25,38,455,457,154,143,16,7,0,0,0,0,0,0,0,0,163,227,0,0,,1.74,346,235,317,28,139,105,4.16,29,6,0,3,4,2,3,11,2,4,0,1,1,2,0,0,1,1,39,28,10,11,.64102566,.35897437,0
2013,tekirdag,marmara,685801,15673,160295,73112,9,8,1,0,0,1740,22,153,466,499,117,298,66,119,1655,1740,60,100,341,319,35,52,26,32,38,36,203,276,50,68,24,20,52,51,8,10,56,59,0,0,8,8,2,6,14,12,17,15,5,5,79,69,192,191,49,34,0,0,70,61,46,42,23,22,98,97,159,155,0,0,,1.91,393,276,376,10,170,100,4.98,32,11,0,3,7,10,4,5,2,1,1,1,5,2,1,0,1,0,39,28,10,11,.64102566,.35897437,0
2014,tekirdag,marmara,711834,15208,169465,82613,9,8,1,0,0,1914,22,168,458,585,195,330,67,89,1561,1914,57,90,294,269,27,80,31,50,45,44,233,353,49,90,21,29,50,93,19,20,76,98,1,1,4,3,6,6,10,16,30,30,2,2,43,34,198,203,33,29,0,0,74,90,35,24,21,18,64,64,138,178,0,0,11,2.05,372,248,479,30,207,133,2.36,18,3,1,3,3,4,2,4,0,1,0,0,2,0,1,0,0,0,39,28,10,11,0,1,0
2015,tekirdag,marmara,734953,13420,177323,92805,9,8,1,0,0,2015,21,197,438,648,212,365,71,63,1668,2015,52,92,294,294,35,67,35,21,47,53,228,373,54,111,28,31,75,113,15,19,58,66,0,0,5,5,1,2,20,27,32,31,1,0,45,42,204,210,48,53,0,0,102,119,36,44,19,15,50,52,184,175,0,0,,2.07,433,249,479,42,227,151,4.45,30,11,0,5,6,5,7,4,2,1,0,3,1,2,3,0,0,2,2,3,1,0,.61538464,.35897437,.025641026
2016,tekirdag,marmara,761059,13257,187566,100019,9,8,1,0,0,2496,27,265,559,880,269,416,74,6,2562,2496,83,91,390,340,62,95,41,29,65,68,443,464,102,72,41,39,86,154,46,46,87,77,0,3,0,2,0,4,60,45,49,53,0,1,39,27,273,262,0,94,0,0,162,148,45,34,25,20,82,87,381,241,0,0,,1.95,384,260,496,35,206,130,4.08,30,9,0,6,5,7,4,4,2,2,0,0,3,1,2,0,1,2,43,27,8,12,.61538464,.35897437,.025641026
2017,tekirdag,marmara,785475,13112,194408,106239,9,8,1,0,0,2783,25,245,510,1124,291,485,88,15,2539,2783,76,88,378,379,50,78,36,36,53,53,547,630,79,125,58,68,96,147,84,87,87,106,1,1,0,1,2,3,34,34,86,82,2,2,56,57,219,210,90,81,0,0,109,109,38,35,31,26,60,60,267,285,0,0,,1.88,367,280,470,38,210,159,3.24,23,9,0,2,4,4,7,5,0,1,1,0,0,3,0,1,1,3,43,27,8,12,.61538464,.35897437,.025641026
2018,tekirdag,marmara,803375,13377,205603,112810,9,8,1,0,0,3088,22,196,523,1249,374,614,91,19,2486,3088,59,105,345,338,55,75,40,52,53,49,433,663,100,171,61,84,86,189,128,163,90,103,0,0,3,4,2,1,48,57,100,99,5,5,41,41,202,221,84,86,0,0,122,126,31,39,20,22,104,105,269,289,5,1,,2.24,479,339,613,37,208,160,5.4,47,8,0,5,7,8,11,9,7,0,0,1,2,2,3,0,0,0,3,3,0,0,.61538464,.35897437,.025641026
2019,tekirdag,marmara,824100,12466,216812,120521,9,8,1,0,0,3283,23,136,489,765,1083,649,125,13,3509,3283,61,81,456,422,75,79,31,40,56,48,650,579,143,154,109,81,99,158,216,195,98,84,1,2,0,1,3,4,60,43,178,168,5,5,74,70,294,274,182,157,0,0,177,161,53,48,45,33,80,78,360,318,3,0,11,2.36,529,409,652,43,204,184,5.47,48,9,0,5,10,8,9,9,5,2,0,0,2,2,2,0,3,0,,,,,.27272728,.63636363,0
2000,tokat,karadeniz,828027,1831,46242,22702,7,7,0,0,0,1036,32,35,786,0,97,76,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,0,2,3,2,2,0,0,0,2,3,0,0,0,0,1,1,,,,,,,
2001,tokat,karadeniz,782323.75,1311,49344.125,22565.625,7,7,0,0,0,1304,34,29,985,0,131,107,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.91,129,81,115,33,69,39,2.34,8,7,0,3,0,1,1,2,1,0,0,6,0,0,0,0,0,1,,,,,,,
2002,tokat,karadeniz,736620.5,1536,52446.25,22429.25,7,7,0,0,0,1077,22,36,771,0,123,106,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.99,134,79,133,38,60,54,2.51,11,5,0,5,0,2,3,1,0,0,0,2,0,0,1,0,1,1,5,2,7,11,,,
2003,tokat,karadeniz,690917.25,2100,55548.375,22292.875,7,7,0,0,0,976,24,37,657,3,148,89,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,141,89,139,30,69,56,3.78,15,9,3,3,3,0,0,4,1,1,0,3,2,0,1,1,1,1,39,22,7,11,,,
2004,tokat,karadeniz,645214,3143,58650.5,22156.5,7,7,0,0,0,868,25,22,625,1,100,84,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,.9399999999999999,116,72,127,34,67,56,3.95,17,8,0,6,1,2,3,1,2,2,1,4,1,0,1,0,0,0,39,22,7,11,.41558442,.15584415,.16883117
2005,tokat,karadeniz,599510.75,3783,61752.625,22020.125,5,5,0,0,0,402,16,3,283,3,49,46,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.86,106,77,112,31,61,46,2.54,10,6,0,4,1,0,4,0,0,0,0,4,1,0,0,0,0,0,39,22,7,11,.66666669,.30769232,0
2006,tokat,karadeniz,553807.5,4051,64854.75,21883.75,5,5,0,0,0,710,22,15,495,8,65,91,14,0,695,710,24,23,85,73,9,10,7,4,5,21,32,39,10,10,39,35,12,12,0,0,11,10,2,5,2,2,4,1,7,6,1,1,47,58,37,35,296,303,4,6,0,0,0,0,0,0,0,0,0,0,61,56,0,0,,.83,118,66,98,25,60,50,3.03,13,6,0,4,3,3,3,0,0,0,1,2,1,1,0,1,0,0,39,22,7,11,.66666669,.30769232,0
2007,tokat,karadeniz,508104.25,4909,67956.875,21747.375,5,5,0,0,0,1160,14,13,788,41,120,165,19,0,1077,1160,34,24,89,96,13,13,2,3,14,20,33,41,2,9,29,37,4,9,1,0,13,16,4,3,0,5,0,0,0,2,34,32,78,82,24,20,641,664,4,11,0,0,0,0,0,0,0,0,0,0,58,73,0,0,,.87,115,69,109,22,69,45,4.34,14,13,1,4,0,2,1,0,0,1,1,4,2,1,0,0,0,0,5,1,1,11,.66666669,.30769232,0
2008,tokat,karadeniz,462401,5910,71059,21611,4,4,0,0,0,688,7,12,415,43,88,102,21,0,663,688,24,25,78,92,9,8,3,2,11,18,39,45,4,5,47,63,3,2,1,0,10,14,4,5,5,2,0,0,4,0,18,19,28,15,15,15,297,300,3,0,0,0,0,0,0,0,0,0,0,0,60,58,0,0,,.91,108,61,135,23,70,36,4.85,20,10,1,5,4,0,2,1,5,1,2,4,0,2,0,0,1,1,46,29,7,11,.66666669,.30769232,0
2009,tokat,karadeniz,470181,5044,74124,28380,4,4,0,0,0,555,29,18,278,50,58,77,24,21,539,555,12,13,48,51,4,4,1,2,18,16,23,23,1,0,25,28,6,1,0,0,10,9,0,0,1,0,0,0,2,2,7,4,28,31,11,16,266,278,7,7,0,0,0,0,0,0,0,0,0,0,67,69,2,1,76,1.08,133,87,152,46,62,58,4.03,18,7,0,1,4,4,5,2,1,1,0,3,2,0,0,1,0,1,46,29,7,11,.42105263,.15789473,.27631578
2010,tokat,karadeniz,469424,5923,81464,29105,4,4,0,0,0,632,1,21,202,153,72,133,31,19,589,632,21,18,55,64,7,13,4,1,11,12,20,37,6,2,24,13,2,1,0,0,6,10,0,0,0,0,0,0,0,1,0,2,18,20,11,17,364,368,3,6,0,0,0,0,0,0,0,0,0,0,37,46,0,1,,1.04,134,96,128,23,81,45,3.22,13,7,1,3,2,2,3,1,1,0,1,1,2,0,1,0,1,1,46,29,7,11,.64102566,.35897437,0
2011,tokat,karadeniz,463595,6016,81101,34333,4,4,0,0,0,643,11,32,192,148,60,152,15,33,588,643,14,20,52,60,6,5,0,12,7,7,21,33,10,4,2,4,3,0,0,0,12,14,0,0,0,0,0,0,1,1,4,2,20,24,8,16,380,381,5,3,14,11,0,0,0,0,0,0,0,0,29,46,0,0,,1.07,123,96,138,27,79,74,4.24,15,11,0,5,2,1,2,2,1,2,1,6,2,0,1,0,0,1,3,1,1,11,.64102566,.35897437,0
2012,tokat,karadeniz,471243,6420,83083,37177,4,3,1,0,0,946,12,42,274,265,96,200,36,21,795,946,21,38,98,128,14,29,10,5,19,20,56,65,17,9,9,11,9,11,0,0,16,24,0,0,0,5,1,1,5,5,9,10,30,28,25,40,364,367,1,0,2,1,0,0,0,0,0,0,0,0,89,149,0,0,,1.03,111,104,141,23,59,43,4.75,24,5,0,9,2,5,3,2,1,1,2,1,1,1,0,0,0,0,39,28,10,11,.64102566,.35897437,0
2013,tokat,karadeniz,463489,6748,79979,42173,3,3,0,0,0,1361,10,74,366,397,123,298,59,34,1374,1361,37,36,291,265,28,36,13,28,47,44,96,122,14,21,11,8,11,11,2,4,43,39,1,1,3,4,0,2,21,19,21,19,43,34,102,84,291,294,0,0,0,0,70,69,44,36,22,24,36,35,127,126,0,0,,1.01,141,91,100,21,73,61,2.31,11,3,0,1,1,1,1,2,3,2,0,2,0,0,0,0,0,1,39,28,10,11,.64102566,.35897437,0
2014,tokat,karadeniz,466412,6444,82724,46569,3,3,0,0,0,1226,3,52,289,378,138,280,51,35,1043,1226,44,54,198,203,21,49,29,29,32,30,97,155,16,52,11,14,16,16,8,9,40,51,0,0,4,3,3,5,9,10,34,32,6,7,33,37,194,184,0,0,0,0,55,59,23,26,14,9,49,48,107,144,0,0,37,1.02,139,85,135,15,72,48,4.18,19,6,0,6,6,2,1,0,1,2,0,1,1,0,1,0,1,2,39,28,10,11,.62162161,.054054055,.16216215
2015,tokat,karadeniz,465975,6117,86292,51380,3,3,0,0,0,1104,3,38,267,284,148,298,48,18,959,1104,38,63,178,184,28,54,17,19,26,25,105,137,12,35,11,15,15,37,3,3,38,37,0,0,6,9,3,0,15,15,36,39,6,5,23,22,125,115,0,0,0,0,69,83,14,15,12,10,66,65,113,117,0,0,,1.07,166,84,136,30,50,53,3.36,14,6,0,4,2,1,1,3,2,1,0,1,2,1,1,0,0,1,3,1,1,0,.61538464,.35897437,.025641026
2016,tokat,karadeniz,474906,5916,95236,55567,3,3,0,0,0,1203,9,57,261,355,156,315,49,1,1284,1203,53,53,213,161,25,52,38,26,26,23,151,139,51,47,31,32,26,48,4,3,47,42,0,1,0,1,0,1,25,25,44,41,0,12,47,36,141,142,0,2,0,0,122,111,11,9,7,6,46,50,176,140,0,0,,1.08,142,81,150,25,82,52,3.51,18,3,1,1,5,7,1,1,0,2,1,0,0,1,1,0,0,0,43,27,8,12,.61538464,.35897437,.025641026
2017,tokat,karadeniz,475692,5522,94165,57339,3,3,0,0,0,1104,2,31,226,367,130,261,82,5,1034,1104,38,57,139,129,38,43,31,32,37,33,119,133,18,31,18,18,32,42,5,7,21,27,0,0,0,2,0,0,23,22,39,37,9,10,37,37,130,129,0,0,0,0,61,58,15,17,11,12,57,59,156,169,0,0,,1.21,169,97,165,22,85,59,4.98,19,11,0,4,5,4,3,1,1,1,0,6,1,2,0,0,0,2,43,27,8,12,.61538464,.35897437,.025641026
2018,tokat,karadeniz,487116,4847,101526,60523,4,3,1,0,0,1407,6,43,202,498,191,364,100,3,1238,1407,26,62,154,158,29,47,30,35,35,38,133,154,25,42,29,30,36,39,13,17,39,46,1,1,0,0,0,0,38,38,91,92,10,11,47,42,112,111,9,9,0,0,63,68,20,19,34,32,64,67,198,249,2,0,,1.26,160,104,190,24,92,59,5.43,22,11,2,5,2,4,3,1,4,1,1,4,3,0,0,0,1,2,3,1,1,0,.61538464,.35897437,.025641026
2019,tokat,karadeniz,487581,4737,104576,63228,3,3,0,0,0,1525,6,29,205,301,444,359,174,7,1555,1525,42,54,260,247,33,39,25,27,45,38,149,159,40,44,30,32,29,43,22,21,37,38,1,1,3,2,1,1,40,38,132,119,20,17,44,36,99,89,14,15,0,0,104,104,27,18,38,24,55,55,264,264,1,0,37,1.36,187,132,211,21,110,48,5.39,28,5,0,8,3,8,3,3,1,2,1,1,2,0,0,0,1,0,,,,,.51351351,.1891892,.2972973
2000,trabzon,karadeniz,975137,3022,192682,45497,6,6,0,0,0,612,10,15,392,0,90,92,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,0,1,3,1,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,
2001,trabzon,karadeniz,925310.5,2066,184399.875,44890.125,6,6,0,0,0,852,11,20,595,0,100,111,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.88,108,75,128,40,71,69,1.52,5,6,1,0,2,2,0,0,0,0,1,3,0,1,0,0,0,1,,,,,,,
2002,trabzon,karadeniz,875484,2310,176117.75,44283.25,6,6,0,0,0,658,5,13,446,0,85,95,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,133,98,142,94,98,62,2.07,5,10,0,1,2,0,0,1,0,1,0,3,3,2,2,0,0,0,6,2,7,11,,,
2003,trabzon,karadeniz,825657.5,3114,167835.625,43676.375,6,6,0,0,0,824,7,11,515,1,126,139,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.9399999999999999,127,79,139,76,88,54,3.43,12,13,0,5,0,1,2,2,1,1,0,11,1,0,1,0,0,0,39,22,7,11,,,
2004,trabzon,karadeniz,775831,4466,159553.5,43069.5,6,6,0,0,0,831,7,18,514,1,121,149,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,.88,119,83,141,23,98,56,3.56,15,11,1,1,3,4,0,4,0,1,0,4,3,0,1,1,1,1,39,22,7,11,.5714286,.11688311,.025974026
2005,trabzon,karadeniz,726004.5,5678,151271.375,42462.625,6,6,0,0,0,520,9,9,307,2,88,91,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.77,111,73,144,26,52,62,2.59,11,8,0,2,1,3,3,0,1,1,0,2,2,0,0,0,0,1,39,22,7,11,.66666669,.30769232,0
2006,trabzon,karadeniz,676178,6214,142989.25,41855.75,6,6,0,0,0,594,3,11,342,10,90,119,19,0,585,594,16,18,42,40,14,11,1,2,4,8,26,29,3,2,77,77,2,0,0,3,7,3,2,4,2,1,0,0,0,2,1,1,5,7,53,49,129,132,153,154,0,0,0,0,0,0,0,0,0,0,48,51,0,0,,.67,103,56,104,20,41,45,2.72,10,10,0,1,2,2,2,0,1,0,0,1,2,3,1,2,0,0,39,22,7,11,.66666669,.30769232,0
2007,trabzon,karadeniz,626351.5,7576,134707.125,41248.875,7,6,1,0,0,1012,14,13,503,103,129,210,40,0,961,1012,11,31,67,85,12,10,3,1,10,9,29,33,5,4,94,106,12,18,7,0,4,3,5,5,1,1,0,0,1,1,13,13,5,5,50,45,401,400,167,167,0,0,0,0,0,0,0,0,0,0,64,75,0,0,,.72,136,72,115,28,48,34,3.25,15,9,0,5,1,2,4,1,0,1,0,2,2,1,3,0,0,1,6,1,1,11,.66666669,.30769232,0
2008,trabzon,karadeniz,576525,8598,126425,40642,4,3,1,0,0,536,2,16,257,53,81,113,14,0,531,536,17,31,73,72,7,6,2,4,4,7,34,34,0,10,100,87,3,10,4,0,4,4,4,6,0,0,0,0,5,4,5,6,2,2,44,41,103,98,66,51,0,0,0,0,0,0,0,0,0,0,54,63,0,0,,.74,117,74,118,22,56,41,2.28,12,5,0,1,2,3,3,2,1,0,0,1,1,0,2,0,0,1,46,29,7,11,.66666669,.30769232,0
2009,trabzon,karadeniz,590665,7198,130722,52033,3,3,0,0,0,455,8,23,132,91,50,115,21,15,451,455,19,10,55,51,3,2,3,3,14,15,18,29,1,2,114,117,12,2,7,4,4,6,0,1,0,0,0,0,5,2,1,2,2,0,27,21,14,18,97,114,0,0,0,0,0,0,0,0,0,0,54,53,1,3,75,.9,137,98,164,26,63,45,2.51,12,7,0,4,3,1,3,0,1,0,0,1,1,0,1,3,1,0,46,29,7,11,.58666664,.06666667,.093333334
2010,trabzon,karadeniz,591806,8543,139941,53181,3,3,0,0,0,492,4,15,100,150,39,133,23,28,439,492,16,27,57,65,3,4,0,1,12,19,31,38,2,6,64,64,6,6,3,4,2,6,0,0,0,0,0,0,2,2,3,3,3,3,34,34,50,50,109,102,0,0,0,0,0,0,0,0,0,0,42,58,0,0,,.78,105,89,163,24,40,61,3.27,13,12,0,3,2,3,2,1,2,0,0,6,2,1,3,0,0,0,46,29,7,11,.64102566,.35897437,0
2011,trabzon,karadeniz,590874,8940,143087,63083,3,3,0,0,0,381,2,16,75,101,34,112,16,25,300,381,14,26,31,47,4,3,1,5,5,8,17,19,2,2,2,5,6,5,5,4,6,16,1,1,0,1,0,0,2,2,1,1,0,0,35,46,56,59,26,41,46,43,0,0,0,0,0,0,0,0,40,47,0,0,,.82,140,114,136,28,49,56,3.55,19,8,0,1,6,6,3,0,2,1,0,2,3,1,0,0,0,2,4,1,1,11,.64102566,.35897437,0
2012,trabzon,karadeniz,595048,9467,145751,66750,2,1,1,0,0,698,4,17,150,211,57,187,31,41,616,698,38,78,77,100,8,20,4,7,18,16,47,42,9,5,15,11,7,7,5,7,26,22,0,0,3,2,0,0,3,3,8,7,3,1,62,66,125,133,42,43,11,7,0,0,0,0,0,0,0,0,105,121,0,0,,.84,133,94,166,25,74,46,2.77,15,6,2,4,6,0,1,0,2,0,0,1,3,2,0,0,0,0,39,28,10,11,.64102566,.35897437,0
2013,trabzon,karadeniz,597459,10239,144612,72591,2,2,0,0,0,1530,8,68,368,471,127,341,81,66,1516,1530,46,59,398,376,19,30,13,27,68,61,94,122,5,16,9,12,24,26,12,12,29,25,0,0,0,0,0,0,33,32,9,8,9,9,179,152,83,78,6,2,0,0,78,84,82,73,20,19,20,18,280,289,0,0,,.8100000000000001,136,103,160,20,52,42,4.49,20,14,0,7,1,4,3,2,2,1,1,5,3,2,0,1,1,1,39,28,10,11,.64102566,.35897437,0
2014,trabzon,karadeniz,606696,10093,150316,80532,1,1,0,0,0,1333,5,37,260,417,178,315,59,62,1159,1333,41,72,286,289,21,30,20,35,58,57,120,179,21,29,23,22,20,35,33,31,26,35,1,1,0,0,1,1,22,23,14,15,6,6,79,76,54,52,1,1,0,0,76,87,38,32,28,29,25,25,145,171,0,0,18,.89,155,98,190,18,55,54,4.98,23,15,1,9,1,3,6,1,1,0,0,9,3,1,1,0,1,0,39,28,10,11,.8888889,.055555556,.055555556
2015,trabzon,karadeniz,608659,9190,153147,89270,1,1,0,0,0,979,10,31,159,294,138,294,36,17,915,979,38,57,202,208,20,30,20,23,41,41,115,171,18,25,6,6,23,18,34,28,26,24,0,0,1,1,1,0,19,19,13,13,5,5,52,42,61,58,2,2,0,0,57,58,27,24,15,12,19,19,100,95,0,0,,.88,151,110,171,20,69,30,3.65,20,8,1,2,6,3,4,2,2,0,1,2,3,1,1,0,0,0,4,1,1,0,.61538464,.35897437,.025641026
2016,trabzon,karadeniz,618132,9005,164862,95609,1,1,0,0,0,1181,5,24,210,354,170,348,68,2,1318,1181,71,53,212,164,19,26,48,20,39,44,174,164,34,34,21,16,26,39,26,25,29,25,0,1,0,0,0,0,37,32,32,30,0,5,79,55,128,132,0,1,0,0,105,98,20,19,23,20,32,33,163,145,0,0,,.8100000000000001,142,87,174,24,61,33,4.01,22,9,1,4,2,8,4,2,0,1,0,4,1,1,2,0,0,1,43,27,8,12,.61538464,.35897437,.025641026
2017,trabzon,karadeniz,623588,8683,168666,97836,1,1,0,0,0,1518,6,20,238,539,182,424,101,8,1456,1518,65,56,267,287,23,36,11,12,43,40,161,186,34,38,26,24,40,54,53,54,35,44,1,1,0,0,0,0,57,57,59,58,6,6,82,79,128,120,4,5,0,0,89,85,33,27,21,19,28,29,190,201,0,0,,.89,140,122,206,19,61,53,4.73,30,7,0,9,4,5,2,4,5,1,0,3,2,1,1,0,0,0,43,27,8,12,.61538464,.35897437,.025641026
2018,trabzon,karadeniz,641368,6915,179610,104561,5,2,3,0,0,1983,6,26,236,639,274,640,139,23,1702,1983,46,77,325,335,18,38,15,17,54,48,197,269,29,43,30,34,33,87,93,99,36,40,0,0,3,3,2,2,92,112,93,96,8,8,91,104,71,73,14,13,0,0,121,129,37,31,43,44,16,16,234,264,1,1,,.96,159,136,225,14,67,47,3.14,20,5,0,5,5,5,2,1,2,0,1,2,0,0,1,1,0,0,4,1,0,0,.61538464,.35897437,.025641026
2019,trabzon,karadeniz,641004,6571,182134,108687,2,2,0,0,0,1903,6,20,203,337,497,606,224,10,2144,1903,46,64,386,307,50,51,15,22,39,32,315,248,49,37,46,34,50,79,127,90,41,40,1,1,0,1,0,0,92,75,123,102,12,9,114,86,75,74,7,9,0,0,133,99,43,27,66,44,20,19,292,353,2,0,18,1.03,164,122,269,22,62,54,1.61,8,5,0,1,1,3,1,1,1,0,1,0,1,0,0,1,2,0,,,,,.72222221,.055555556,.11111111
2000,tunceli,dogu,93584,3718,19830,3693,5,5,0,0,0,62,2,2,34,0,13,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
